title,number,url,assignees,labels,status,created_at,updated_at
[Oct 31/2023] [Balance] Self-Serve Fraudulent Disputes,1045,https://github.com/Shopify/money-support-operations/issues/1045,SarahDono,"Topic:Balance, 2023-Q1, Code Yellow",Done,2023-05-19T09:48:24Z,2024-10-21T08:14:32Z
[Balance] Expanding Balance Eligibility to Plus Merchants,1425,https://github.com/Shopify/money-support-operations/issues/1425,SarahDono,,Done,2024-05-02T08:51:39Z,2024-10-21T08:17:28Z
[Task] Merchant outreach SOP's,80,https://github.com/Shopify/markets-support/issues/80,FionnualaW,"Type: General Task, Subject: Markets Pro",Done,2024-06-20T16:51:23Z,2024-10-02T16:47:52Z
[Incident] Global E incorrectly charged merchants over the past two pay periods,79,https://github.com/Shopify/markets-support/issues/79,FionnualaW,"Type: General Task, Incident!, Subject: Markets Pro",Done,2024-06-20T15:52:47Z,2024-07-03T16:09:02Z
Markets Pro Intake to track RnD requests,1065,https://github.com/Shopify/psn/issues/1065,"Jen-marshall, ShivMcD, FionnualaW","sfd_request, Support Services Design, sfd_P2, support, ssd_infrastructure, markets",Done,2024-04-11T16:34:25Z,2024-07-03T16:25:22Z
[June 5/24] [Merchant Spending & Lending]Capital - Adding specific rejection reason to declined application email.,1441,https://github.com/Shopify/money-support-operations/issues/1441,ronan-lee,"Topic:Capital, 2024-Q2",Monitoring,2024-06-05T15:47:29Z,2025-05-20T09:33:40Z
[Mar 13] [Other] Okta Permissions Group,933,https://github.com/Shopify/money-support-operations/issues/933,EmmaPhelan,2023-Q1,Stopped,2023-03-13T21:50:13Z,2025-02-13T12:38:54Z
[Mar 4/24] [Billing] Credit Notes,1245,https://github.com/Shopify/money-support-operations/issues/1245,"MeganDerbyshire, laurem-ipsum",2023-Q4,In Progress,2023-11-03T16:02:07Z,2025-05-14T21:26:46Z
"TINcheck billing management (recurring task, monthly)",799,https://github.com/Shopify/merchant-tax-support/issues/799,"anyacasey, FionnualaW","Subject: 1099-k, Type: General Project Task",Monitoring,2024-05-29T15:40:50Z,2025-05-16T09:07:02Z
[Jun 18/24] Company Wide Abacus Permissions,1437,https://github.com/Shopify/money-support-operations/issues/1437,,2024-Q2,Done,2024-05-31T20:23:58Z,2025-02-13T13:08:54Z
[Balance] Non-Shopify merchant reaches out after having received a Balance acrd in the post,1403,https://github.com/Shopify/money-support-operations/issues/1403,SarahDono,,Done,2024-04-15T10:48:15Z,2024-12-18T13:56:51Z
[March 2024] [Slack] B&P transition to SSA channel,1368,https://github.com/Shopify/money-support-operations/issues/1368,"Dalo92, TiffanyHo2021",2024-Q1,Done,2024-03-11T17:16:01Z,2024-10-15T21:05:12Z
